Date,Open,High,Low,Close,Adj Close,Volume
2021-02-05,129.990005,131.000000,125.040001,125.500000,123.114792,949000
2021-02-08,125.900002,126.230003,122.269997,122.370003,120.044289,422400
2021-02-09,122.010002,126.500000,121.180000,126.209999,123.811295,330000
2021-02-10,126.480003,127.529999,124.059998,125.459999,123.075562,270000
2021-02-11,124.690002,126.839996,124.010002,126.690002,124.979507,242000
2021-02-12,125.870003,129.770004,125.870003,129.050003,127.307632,300300
2021-02-16,129.020004,129.610001,126.989998,127.360001,125.640457,332400
2021-02-17,127.000000,127.680000,125.050003,125.169998,123.480019,382100
2021-02-18,124.029999,126.029999,123.889999,124.589996,122.907852,258700
2021-02-19,124.959999,126.889999,124.480003,124.620003,122.937454,451100
2021-02-22,125.190002,130.679993,124.510002,128.500000,126.765068,617000
2021-02-23,129.899994,141.899994,129.899994,140.330002,138.435333,1141100
2021-02-24,143.470001,145.800003,137.699997,138.949997,137.073975,1007700
2021-02-25,139.559998,140.070007,130.600006,131.020004,129.251038,586200
2021-02-26,131.399994,140.699997,131.270004,137.550003,135.692886,659200
2021-03-01,139.539993,144.660004,138.750000,144.210007,142.262955,508700
2021-03-02,143.039993,143.990005,140.419998,140.949997,139.046967,483300
2021-03-03,141.889999,147.559998,141.889999,146.139999,144.166901,588900
2021-03-04,145.000000,149.190002,142.520004,144.520004,142.568771,670000
2021-03-05,145.820007,151.000000,144.080002,150.410004,148.379242,749300
2021-03-08,152.500000,153.679993,149.050003,151.529999,149.484116,669000
2021-03-09,151.580002,153.309998,149.210007,150.119995,148.093170,710000
2021-03-10,152.220001,156.160004,150.580002,151.839996,149.789932,356300
2021-03-11,151.639999,154.830002,149.169998,154.289993,152.206848,237700
2021-03-12,155.169998,157.339996,152.630005,155.559998,153.459702,524200
2021-03-15,155.399994,157.929993,154.479996,157.470001,155.343933,379600
2021-03-16,158.320007,160.149994,156.869995,158.600006,156.458679,666500
2021-03-17,158.300003,160.470001,154.679993,160.369995,158.204773,483100
2021-03-18,161.080002,163.619995,155.000000,156.240005,154.130539,513300
2021-03-19,155.369995,156.500000,151.500000,153.990005,151.910919,818300
2021-03-22,155.149994,156.759995,152.000000,154.839996,152.749420,428800
2021-03-23,152.889999,154.889999,147.529999,149.279999,147.264511,522000
2021-03-24,150.500000,150.960007,141.050003,141.410004,139.500763,680700
2021-03-25,135.820007,146.279999,135.110001,146.000000,144.028778,721200
2021-03-26,146.479996,146.479996,136.029999,141.850006,139.934830,736600
2021-03-29,141.850006,144.119995,137.710007,138.940002,137.064117,484400
2021-03-30,140.429993,142.619995,139.389999,142.110001,140.191299,329100
2021-03-31,141.880005,143.190002,139.009995,140.429993,138.533981,282400
2021-04-01,140.580002,146.889999,140.330002,142.699997,140.773331,502300
2021-04-05,143.000000,143.990005,140.809998,141.410004,139.500763,783500
2021-04-06,142.000000,143.500000,141.330002,143.070007,141.138351,984400
2021-04-07,144.820007,147.759995,144.199997,145.710007,143.742722,391600
2021-04-08,146.179993,148.339996,143.250000,147.759995,145.765015,351100
2021-04-09,147.070007,151.139999,146.660004,150.539993,148.507492,379800
2021-04-12,151.789993,153.750000,150.039993,151.500000,149.454544,416600
2021-04-13,151.710007,152.279999,147.490005,148.149994,146.149750,467700
2021-04-14,148.169998,150.750000,147.699997,148.990005,146.978424,272200
2021-04-15,149.949997,153.000000,149.080002,151.380005,149.336151,313100
2021-04-16,151.869995,154.660004,151.020004,153.559998,151.486710,511400
2021-04-19,154.559998,154.660004,151.770004,153.279999,151.210495,238400
2021-04-20,152.460007,153.990005,148.979996,150.679993,148.645599,299000
2021-04-21,149.720001,155.050003,149.720001,154.009995,151.930634,279800
2021-04-22,154.270004,155.000000,152.350006,154.320007,152.236465,308300
2021-04-23,155.000000,156.250000,153.600006,153.750000,151.674149,257400
2021-04-26,154.919998,155.690002,153.100006,153.970001,151.891174,332300
2021-04-27,153.119995,154.830002,150.990005,151.779999,149.730743,398900
2021-04-28,151.410004,151.889999,148.580002,150.559998,148.527222,244400
2021-04-29,152.449997,154.639999,148.660004,151.179993,149.138855,586900
2021-04-30,150.369995,150.929993,147.179993,147.410004,145.419754,359500
2021-05-03,148.660004,149.869995,146.220001,148.380005,146.376663,798000
2021-05-04,149.520004,152.279999,142.600006,149.139999,147.126389,776400
2021-05-05,150.399994,152.949997,147.029999,149.199997,147.185577,678900
2021-05-06,149.990005,151.270004,146.460007,149.270004,147.254639,252200
2021-05-07,148.199997,149.429993,146.440002,147.509995,145.518402,376600
2021-05-10,148.000000,153.220001,147.910004,148.050003,146.051117,634300
2021-05-11,147.309998,148.940002,144.869995,148.600006,146.593704,454100
2021-05-12,148.050003,149.449997,146.320007,146.839996,144.857452,368100
2021-05-13,145.830002,150.199997,145.500000,147.789993,146.492966,275700
2021-05-14,148.589996,151.419998,148.000000,150.899994,149.575668,284900
2021-05-17,151.100006,152.500000,148.639999,149.270004,147.959991,300700
2021-05-18,149.050003,150.520004,148.300003,148.300003,146.998505,307900
2021-05-19,146.940002,148.000000,144.210007,147.699997,146.403748,324500
2021-05-20,147.979996,149.570007,147.300003,148.639999,147.335510,272300
2021-05-21,149.289993,150.160004,147.059998,147.270004,145.977539,346400
2021-05-24,147.839996,153.139999,147.339996,152.789993,151.449081,361700
2021-05-25,153.490005,155.990005,151.279999,151.770004,150.438049,398900
2021-05-26,151.320007,153.229996,150.690002,151.020004,149.694626,211700
2021-05-27,151.699997,155.080002,150.869995,154.050003,152.698029,348100
2021-05-28,153.830002,154.080002,150.669998,151.910004,150.576813,233800
2021-06-01,152.949997,153.320007,150.050003,150.669998,149.347702,305200
2021-06-02,151.309998,151.309998,148.490005,150.580002,149.258484,408800
2021-06-03,149.800003,149.960007,145.639999,148.660004,147.355347,225200
2021-06-04,148.669998,149.289993,146.570007,148.149994,146.849808,280500
2021-06-07,148.250000,149.759995,145.789993,145.990005,144.708771,317200
2021-06-08,145.600006,145.610001,142.419998,143.940002,142.676758,416000
2021-06-09,143.639999,147.850006,142.820007,146.889999,145.600861,403100
2021-06-10,148.229996,149.949997,145.449997,145.529999,144.252792,217800
2021-06-11,145.529999,147.759995,145.339996,146.830002,145.541382,410600
2021-06-14,146.860001,147.850006,144.600006,147.080002,145.789200,319300
2021-06-15,147.889999,149.190002,145.389999,147.800003,146.502884,438500
2021-06-16,147.600006,147.600006,142.039993,145.050003,143.777023,452100
2021-06-17,145.729996,147.389999,142.669998,143.800003,142.537994,302500
2021-06-18,141.940002,143.389999,140.410004,142.500000,141.249390,508600
2021-06-21,142.990005,145.929993,142.960007,145.509995,144.232971,332100
2021-06-22,144.850006,146.179993,143.259995,145.220001,143.945526,272200
2021-06-23,146.059998,147.809998,145.419998,146.600006,145.313416,332900
2021-06-24,147.300003,148.179993,146.679993,147.000000,145.709900,358900
2021-06-25,146.800003,156.250000,146.800003,155.100006,153.738815,1294900
2021-06-28,155.000000,156.330002,148.100006,149.720001,148.406036,523400
2021-06-29,148.339996,149.339996,143.279999,144.039993,142.775864,426100
2021-06-30,144.100006,148.440002,143.259995,147.880005,146.582184,302600
2021-07-01,148.830002,152.660004,148.699997,151.399994,150.071274,348000
2021-07-02,152.320007,152.699997,150.589996,151.500000,150.170410,173900
2021-07-06,150.610001,150.750000,146.050003,147.899994,146.601990,259100
2021-07-07,147.899994,148.949997,143.710007,145.009995,143.737350,254800
2021-07-08,143.330002,145.250000,139.479996,143.500000,142.240616,198300
2021-07-09,144.860001,147.789993,144.470001,147.100006,145.809036,176100
2021-07-12,146.050003,148.199997,144.130005,147.750000,146.453323,217000
2021-07-13,147.320007,147.660004,144.250000,145.949997,144.669113,201300
2021-07-14,146.919998,147.839996,144.720001,144.850006,143.578766,163100
2021-07-15,144.250000,146.440002,142.339996,143.800003,142.537994,275600
2021-07-16,143.929993,145.000000,141.679993,142.110001,140.862823,267700
2021-07-19,139.210007,140.990005,135.869995,136.720001,135.520126,481000
2021-07-20,137.169998,142.750000,136.830002,141.389999,140.149139,303400
2021-07-21,141.960007,146.419998,141.960007,144.500000,143.231842,256800
2021-07-22,143.789993,143.789993,140.410004,143.149994,141.893677,154000
2021-07-23,144.240005,144.960007,142.009995,144.570007,143.301239,142800
2021-07-26,144.690002,147.869995,144.679993,145.910004,144.629471,140600
2021-07-27,144.860001,146.839996,143.770004,145.449997,144.173508,172500
2021-07-28,145.630005,148.199997,142.270004,147.190002,145.898239,226500
2021-07-29,147.869995,150.570007,147.009995,148.250000,146.948929,364300
2021-07-30,147.199997,149.699997,146.619995,147.070007,145.779297,201200
2021-08-02,148.250000,151.300003,147.100006,147.259995,145.967621,272900
2021-08-03,147.350006,148.199997,143.690002,147.570007,146.274902,292100
2021-08-04,143.779999,147.949997,143.050003,146.660004,145.372879,316600
2021-08-05,148.179993,152.919998,147.220001,152.389999,151.052597,211200
2021-08-06,153.470001,155.839996,152.199997,152.860001,151.518463,324900
2021-08-09,152.740005,152.740005,147.850006,149.970001,148.653839,280100
2021-08-10,149.539993,152.190002,149.190002,149.990005,148.673676,333100
2021-08-11,149.690002,151.440002,148.509995,149.929993,148.614182,352900
2021-08-12,150.360001,150.360001,146.690002,147.419998,146.811661,224900
2021-08-13,148.070007,149.110001,144.839996,145.720001,145.118668,277900
2021-08-16,145.100006,147.110001,142.850006,144.429993,143.833984,241400
2021-08-17,143.460007,145.270004,142.500000,144.380005,143.784210,192700
2021-08-18,144.470001,147.860001,144.270004,145.360001,144.760162,155100
2021-08-19,143.589996,144.089996,139.339996,140.440002,139.860458,229900
2021-08-20,139.770004,142.919998,138.800003,142.789993,142.200760,229200
2021-08-23,144.550003,145.889999,143.380005,145.059998,144.461395,180300
2021-08-24,147.800003,149.050003,145.339996,147.639999,147.030746,284100
2021-08-25,147.369995,148.610001,146.509995,147.369995,146.761856,235700
2021-08-26,147.020004,147.360001,143.300003,146.000000,145.397522,403500
2021-08-27,146.240005,149.210007,144.809998,148.639999,148.026627,251000
2021-08-30,149.000000,149.570007,147.139999,148.050003,147.439056,181100
2021-08-31,147.520004,150.139999,147.520004,149.750000,149.132034,242600
2021-09-01,149.779999,151.710007,148.750000,148.990005,148.375183,173200
2021-09-02,149.029999,152.500000,149.029999,150.910004,150.287262,248400
2021-09-03,150.429993,150.429993,146.149994,148.389999,147.777649,261900
2021-09-07,147.320007,148.490005,144.690002,144.779999,144.182541,260000
2021-09-08,144.380005,146.059998,144.020004,145.050003,144.451431,218400
2021-09-09,144.490005,145.220001,143.169998,143.960007,143.365936,235400
2021-09-10,144.179993,144.389999,141.500000,141.639999,141.055511,248700
2021-09-13,142.699997,146.279999,141.649994,145.919998,145.317841,277000
2021-09-14,146.460007,147.259995,142.250000,143.429993,142.838120,272100
2021-09-15,143.410004,149.639999,143.259995,148.839996,148.225800,285100
2021-09-16,148.759995,151.759995,148.279999,150.630005,150.008408,536700
2021-09-17,150.270004,151.789993,147.380005,148.410004,147.797577,574300
2021-09-20,145.369995,146.490005,143.179993,145.789993,145.188370,246100
